averageVehicleSpeed;averageDistanceHeadway;percentageLongVehicles;vehicleFlow;occupancy
76;51;21;1380;13
72;87;5;1140;11
77;115;0;540;3
62;56;0;1020;9
74;170;0;240;1
121;197;0;420;2
101;255;50;240;3
107;255;50;120;1
109;63;23;540;4
103;217;20;360;2
100;97;18;960;6
125;151;0;360;1
88;29;0;120;1
50;38;0;300;3
113;117;30;600;5
90;98;0;720;4
123;255;0;120;0
117;70;10;660;3
98;51;0;1260;7
63;72;0;780;7
124;140;0;480;2
87;61;10;660;4
60;69;0;840;10
68;65;0;1020;12
70;40;5;1440;10
84;92;0;780;5
106;103;25;720;6
115;244;0;240;1
115;55;0;120;0
122;205;0;300;1
147;255;0;60;0
120;255;0;120;1
108;255;40;300;3
107;255;0;60;0
113;163;13;480;3
130;255;0;120;1
107;198;0;480;4
109;204;34;540;5
121;255;0;300;2
98;69;13;960;6
115;169;0;720;7
108;236;0;420;2
91;49;7;900;6
114;128;0;420;2
103;55;0;540;3
70;151;0;300;2
73;39;10;1320;12
93;99;34;720;7
55;129;25;240;3
106;55;0;1440;8
124;99;0;840;3
115;68;0;1500;8
127;150;0;300;1
124;148;17;840;3
104;255;25;240;2
97;152;17;720;6
67;230;0;180;1
106;255;25;240;2
99;126;25;480;3
111;193;34;360;3
131;255;0;60;0
130;168;0;540;2
144;255;0;60;0
127;191;0;540;2
114;56;0;420;4
114;31;0;120;0
121;255;0;120;0
121;225;14;420;3
101;66;25;720;6
132;255;0;240;2
54;109;0;360;4
153;255;0;60;0
58;155;0;240;2
122;193;0;240;1
109;115;9;720;4
99;149;0;480;3
116;255;50;120;1
173;255;0;60;0
89;132;50;480;6
133;255;0;240;1
101;121;17;720;5
111;97;16;360;2
118;255;34;180;2
96;127;50;720;9
119;161;0;240;1
100;249;15;420;3
98;87;30;1200;10
111;116;0;360;1
104;46;0;1020;5
114;255;34;180;2
77;36;15;1320;11
87;59;6;1140;8
62;68;7;960;9
60;49;12;1020;10
115;45;0;360;1
105;27;29;480;29
117;34;0;480;2
145;255;0;180;1
125;255;15;420;3
110;147;0;600;3
132;255;0;120;0
108;255;0;60;0
87;94;34;720;8
145;255;0;60;0
108;178;15;420;3
78;107;22;540;5
108;75;20;300;2
105;96;7;780;5
91;65;9;1260;10
76;40;3;1740;14
75;255;75;240;3
104;136;36;660;6
102;255;0;180;1
82;255;34;360;4
103;195;66;180;2
124;255;0;180;1
42;255;0;60;1
100;70;34;420;3
22;30;0;480;8
123;111;0;180;0
114;138;12;540;3
103;161;13;480;3
80;122;0;600;4
95;9;0;120;0
76;55;4;1380;11
90;71;0;1200;8
56;191;0;120;0
108;82;13;1080;7
126;136;8;780;4
109;97;29;840;7
123;140;0;180;0
56;48;0;480;5
105;110;10;720;4
86;49;20;1320;11
111;142;34;540;4
136;224;0;120;0
69;251;0;120;1
99;47;0;1200;6
86;43;12;1560;10
70;32;3;2040;16
99;61;0;840;4
64;125;34;360;5
110;195;17;360;3
83;47;0;1380;9
124;163;0;180;0
67;39;0;1200;9
94;159;0;360;2
75;255;100;180;4
109;184;40;300;2
120;255;0;60;0
89;115;0;420;2
92;67;16;1140;9
75;118;0;600;4
121;104;0;480;2
110;119;0;240;1
83;161;33;360;5
100;99;59;720;10
100;255;50;120;1
115;210;0;420;3
129;255;0;120;1
96;203;0;300;1
94;55;18;1620;12
75;44;12;1500;13
111;124;7;840;5
123;98;0;180;0
135;186;0;180;1
115;101;0;720;3
107;80;27;960;8
52;255;0;180;1
75;60;0;1080;7
103;139;25;480;4
93;118;0;600;3
124;155;0;240;1
79;38;0;1200;6
83;81;8;840;5
66;36;35;1200;12
92;255;16;360;2
78;103;30;780;8
126;249;0;180;1
110;240;15;420;3
161;255;0;240;2
111;46;17;360;2
130;255;0;60;0
104;143;24;780;6
112;185;0;240;1
95;119;18;660;4
103;255;40;300;4
91;95;0;420;5
103;255;0;180;1
98;249;0;420;4
111;169;40;600;6
132;255;0;240;1
144;75;10;720;3
79;23;0;300;2
75;56;0;480;3
86;149;12;540;5
123;255;0;60;0
125;255;0;180;1
123;255;0;120;0
59;51;7;780;8
53;34;21;1140;17
40;70;0;540;5
52;255;0;120;1
76;73;0;480;2
103;125;40;600;6
96;156;34;360;4
63;29;3;1920;18
76;37;0;1740;13
117;255;0;120;0
116;255;17;360;3
37;255;0;240;3
48;25;8;1380;19
84;164;34;180;2
73;55;15;840;6
78;22;15;420;3
99;255;17;360;3
81;153;25;240;2
101;255;50;360;5
83;255;0;180;1
81;86;100;960;13
83;61;0;1020;6
74;80;0;600;4
73;41;0;1380;11
60;37;0;240;2
77;62;6;1140;10
85;69;0;1260;7
124;255;0;420;2
99;142;0;480;3
98;146;29;420;4
109;100;0;180;0
106;255;0;300;2
88;255;0;240;1
95;178;12;540;4
43;93;0;360;4
71;43;29;420;6
114;246;29;420;4
48;255;0;120;0
49;17;11;1680;27
122;80;0;120;0
130;255;0;120;1
106;107;17;360;2
140;255;0;120;1
126;255;0;240;1
109;76;6;1020;6
92;149;88;480;8
49;19;5;1980;21
113;255;0;360;2
118;255;0;120;0
59;245;34;180;3
111;43;10;600;3
84;106;28;660;6
102;54;34;540;5
103;255;0;120;0
90;142;67;540;7
85;187;0;360;2
96;166;23;540;4
76;114;0;600;6
80;80;13;960;8
92;255;0;360;2
116;177;0;240;1
99;118;10;660;4
107;70;29;1560;10
97;91;31;960;9
66;197;0;360;2
116;97;5;1140;6
108;113;0;540;2
103;72;0;1380;7
96;119;0;840;5
115;156;0;240;1
102;198;0;300;1
101;164;0;720;6
119;213;0;720;4
112;225;0;360;2
100;125;0;780;4
103;226;50;360;3
109;212;25;480;4
114;255;25;240;2
123;255;0;300;2
122;255;67;180;2
103;222;0;180;1
95;162;0;600;6
118;130;0;540;2
103;177;63;480;5
116;255;0;300;2
90;255;16;360;3
99;140;45;540;6
94;121;20;600;5
123;255;0;60;0
112;124;0;600;3
118;255;0;120;1
113;186;0;240;1
74;30;2;2220;19
88;44;9;1860;13
66;31;10;1800;20
35;81;0;360;7
108;107;17;720;5
122;198;0;240;1
104;119;28;840;7
118;138;0;540;2
109;95;34;180;1
178;255;0;300;1
128;255;0;420;3
112;38;0;300;1
94;197;0;240;1
103;255;0;120;1
99;255;67;180;3
112;48;0;660;3
91;50;13;960;8
109;65;0;1260;6
80;173;0;60;0
102;255;0;300;1
69;39;0;300;2
69;57;0;300;2
110;219;38;480;5
127;255;0;120;1
108;133;15;420;2
94;55;18;1020;9
89;69;11;1140;9
